vhash,creation_date,type_description,type_tag,meaningful_name,size,sha256,type_extension,sha1,md5
21605f7655161511a0985f4be022,1634180603,Win32 EXE,peexe,VLTKNhatRac.exe,1103872,7906975146dfeeefc375c1acbe1a81f05a617188d61b5f17eac8aa7e1be700d5,exe,546d1f7f0d4f5efada6109344da76cf098cc74aa,dbddea7278fe7d21c6e262cfe92a01d2
094066655d1515156az467z30ctz,1633937804,Win32 EXE,peexe,Activator.EXE,91648,d097ca2583425f648592138b57562334c0b83d3179634fd43a0b611bdf720122,exe,4ece22c0a4bde2a2f2936d87d9d6acb5668c3c78,dc534760d1110201433d670e90ac2ed2
f3c983a4c0cf9c6e2906e3040a8b0b6a,1575709784,Windows shortcut,lnk,Foto.lnk,1554,a53e7ce0bbf24cef74818a3339d60ad2c6fc5afbebb556c3e971e001ca9f5952,lnk,739cade35496f2c4318687fb77e88dd344fe3110,16ca460642c5d4fdfbf8534f2887e70b
2550366515132071a818d6251,1634261311,Win32 EXE,peexe,4hG04.exe,534016,3c7f0357b60497d0e3cdb06921da81bd6f7535669be7269951e137457d8b7c83,exe,5aeb08ea42403aeaf039d2d0f1b217485f123fa0,fe350798e5ed689e7c680e0bebf0bbbd
3d4e125a0aa1d7fd945dc52183e3dd72,,ELF,elf,wget,125257,ca1e9ad96796792527ad0286916ff59bcb0acb99433adea753d5dad26e327081,,820d1b5b75ae5174e31a04fde704f01aaf8a1ece,652ceabd676b70746491548bc77ea6f7
7bc8f2e32db60fe1b649d11b92eed48e,,ELF,elf,94VG.arc,66944,7212ef3aa7a7a8e1daee58a711cf5d06a4e2efa1fd9eff8d55cae065cd2651bc,,849a9e974a47a23af005a0d4b5bc7c0248a0d13a,6775051a34e2f0acef33fbe801ee62c4
0a47786bf1719395287a547ecd46178e,,Macintosh Disk Image,dmg,Sales_Receipt 5185.img,1245184,ae12b461fa093bc9a7c2ada3b0e1291ad61e5dc788a73be834b570741ac69c8e,dmg,1e8627ddab5cb302058bf4edfbe21159cb0a3444,a984e04b642afa8be9ab12267c71d21d
0350467d15551az6anz1fz,1608434682,Win32 EXE,peexe,file.exe,387584,b1b56f177a463229c447d60683f7420530042faefc2f50077d7dd137ee40ba5d,exe,1af07d2d24adf92faf1bdf2357a098b3949fdbb3,f3b72059e2de728e8e501e3ad626af45
